time	V(1)	V(20)
Step Information: Amplitude=30m Frequency=1K  (Step: 1/36)
7.445672820160388e-04	-3.997670e-02	-4.212049e-01
7.660516570160388e-04	-3.979674e-02	-4.186974e-01
7.875360320160388e-04	-3.889268e-02	-4.089592e-01
8.090204070160388e-04	-3.728099e-02	-3.921679e-01
8.305047820160389e-04	-3.499097e-02	-3.686295e-01
8.519891570160389e-04	-3.206431e-02	-3.387731e-01
8.754266570160389e-04	-2.820835e-02	-2.996393e-01
8.988641570160389e-04	-2.374176e-02	-2.544863e-01
9.223016570160390e-04	-1.876123e-02	-2.042971e-01
9.457391570160390e-04	-1.337458e-02	-1.501727e-01
9.711297820160390e-04	-7.216150e-03	-8.852157e-02
9.926141570160390e-04	-1.855599e-03	-3.545553e-02
9.965204070160390e-04	-8.744475e-04	-2.606214e-02
9.984735320160390e-04	-3.836374e-04	-2.151388e-02
1.000426657016039e-03	1.072305e-04	-1.715334e-02
1.001983876338801e-03	4.985896e-04	-1.390917e-02
1.003452344340026e-03	8.676007e-04	-1.111368e-02
1.004359611421372e-03	1.095553e-03	-9.587327e-03
1.005403677532402e-03	1.357831e-03	-8.073882e-03
1.006123232060940e-03	1.538556e-03	-7.179799e-03
1.006750629173655e-03	1.696110e-03	-6.511509e-03
1.007779628553244e-03	1.954455e-03	-5.588342e-03
1.009634271106287e-03	2.419878e-03	-4.111952e-03
1.010123886154629e-03	2.542695e-03	-3.661809e-03
1.010740808467910e-03	2.697411e-03	-3.018218e-03
1.011678943753005e-03	2.932605e-03	-1.884686e-03
1.013555214323194e-03	3.402680e-03	6.692489e-04
1.016496515605811e-03	4.138607e-03	4.921569e-03
1.017032803577497e-03	4.272643e-03	5.786414e-03
1.017223453306926e-03	4.320282e-03	6.151040e-03
1.017348741940174e-03	4.351585e-03	6.442498e-03
1.017545518603465e-03	4.400743e-03	6.983516e-03
1.017703583694176e-03	4.440226e-03	7.496872e-03
1.017822618132431e-03	4.469956e-03	7.953546e-03
1.018030615327750e-03	4.521901e-03	8.929715e-03
1.018198273978695e-03	4.563765e-03	9.917499e-03
1.018375356714021e-03	4.607977e-03	1.118315e-02
1.018567002269546e-03	4.655819e-03	1.281936e-02
1.018671374968980e-03	4.681872e-03	1.382741e-02
1.018807789622718e-03	4.715919e-03	1.524976e-02
1.019393650026043e-03	4.862103e-03	2.193186e-02
1.019675476917230e-03	4.932401e-03	2.496785e-02
1.020009307267380e-03	5.015650e-03	2.815244e-02
1.020271421425119e-03	5.081000e-03	3.022935e-02
1.020637289098468e-03	5.172194e-03	3.255626e-02
1.020930938797708e-03	5.245368e-03	3.406472e-02
1.021238221331309e-03	5.321919e-03	3.531947e-02
1.021852786398511e-03	5.474963e-03	3.739852e-02
1.023347382192429e-03	5.846814e-03	4.150081e-02
1.035727728363136e-03	8.904131e-03	7.242663e-02
1.055258978363136e-03	1.361074e-02	1.195072e-01
1.074790228363136e-03	1.811263e-02	1.643549e-01
1.096274603363136e-03	2.274756e-02	2.103969e-01
1.117758978363136e-03	2.696861e-02	2.522050e-01
1.139243353363136e-03	3.069897e-02	2.890278e-01
1.160727728363136e-03	3.387076e-02	3.201993e-01
1.182212103363136e-03	3.642629e-02	3.451549e-01
1.203696478363136e-03	3.831906e-02	3.634421e-01
1.225180853363136e-03	3.951462e-02	3.747291e-01
1.246665228363136e-03	3.999122e-02	3.788116e-01
1.268149603363136e-03	3.974019e-02	3.756162e-01
1.289633978363136e-03	3.876610e-02	3.652018e-01
1.311118353363136e-03	3.708667e-02	3.477587e-01
1.332602728363136e-03	3.473246e-02	3.236056e-01
